#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-388165.1204422679,82442.31424505023,-305722.80619721767,272.71563154213385
40,-381710.5891707338,76419.91680176333,-305290.67236897047,252.7937996869306
60,-382884.83080023184,80075.97700260379,-302808.8537976281,264.8878896667995
80,-381119.0842097729,83535.63825058189,-297583.44595919095,276.3323003532795
100,-369439.854705135,78459.72996592289,-290980.1247392121,259.5414139477121
120,-357617.70870098437,71910.11917825241,-285707.58952273196,237.87558301281732
140,-357951.675657931,73804.04205613432,-284147.6336017967,244.14059847803603
160,-365583.17097100045,79011.01073634355,-286572.1602346569,261.3650270381383
180,-364758.335784484,74831.41936875065,-289926.91641573334,247.53911846389443
200,-351243.6550314183,63012.185850769245,-288231.4691806491,208.44160206449544
220,-334934.79915307177,59470.269129405286,-275464.5300236665,196.72509380800375
240,-319418.12831484823,69475.7008741264,-249942.42744072183,229.82263191207457
260,-294178.76158963516,77592.90959072762,-216585.85199890754,256.67400940891775
280,-255046.92605353388,70297.71082540129,-184749.2152281326,232.5418054948238
300,-220481.37787548557,56936.01125561186,-163545.3666198737,188.3418777026444
320,-213484.53619274852,55957.843810320046,-157526.69238242847,185.10614184249138
340,-231240.37955309916,67050.72382310573,-164189.65572999342,221.8009120707494
360,-246131.27201305042,72278.17195078428,-173853.10006226614,239.09308576272207
380,-236669.13767991518,64691.88101961022,-171977.25666030496,213.99796147729833
400,-203835.99822917333,59187.8607355456,-144648.13749362773,195.79089898111764
420,-154557.08579282067,67657.17425753914,-86899.91153528153,223.80702403812955
440,-86446.95195361238,78342.58239834565,-8104.369555266734,259.1538948300356
460,-2003.543658312352,74090.18103854968,72086.63738023733,245.08713393149597
480,73385.45830959163,61163.391852576715,134548.85016216835,202.32587099331613
500,108452.77097400883,61369.39143766722,169822.16241167605,203.00730876540956
520,103491.23261218081,78076.46859009708,181567.7012022779,258.27360179188923
540,96265.07639588206,89595.25209929538,185860.32849517744,296.3772424777975
560,126080.60580948053,81929.62311029987,208010.2289197804,271.019671307637
580,204459.1237271995,70429.98013070581,274889.1038579053,232.97934667085798
600,325676.5840014204,75738.00308977238,401414.5870911928,250.53805844135996
620,487735.98929525365,91723.62929542709,579459.6185906808,303.4178227492057
640,684594.1091242237,96451.68268061473,781045.7918048385,319.0580201006985
660,886069.4868279115,87872.23574336607,973941.7225712775,290.67757844037146
680,1050360.7604586557,86698.46979498591,1137059.2302536415,286.7948111402727
700,1166147.8565137736,103176.23376985971,1269324.0902836332,341.30254603297357
720,1266093.8036352936,121404.29172597278,1387498.0953612663,401.60017817503166
740,1413171.4047657629,119064.88341788891,1532236.2881836519,393.86151605696386
760,1636273.121819534,112532.79785942235,1748805.9196789565,372.25365782691165
780,1951392.4537385404,122372.20986632475,2073764.663604865,404.80200977503455
800,2373227.2447487614,153043.95636135753,2526271.201110119,506.26282868205965
