10: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
20: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
30: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
40: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
50: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
60: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
70: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
80: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
90: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
100: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
110: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
120: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
130: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
140: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
150: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
160: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
170: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
180: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
190: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
200: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
210: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
220: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
230: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
240: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
250: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
260: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
270: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
280: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
290: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
300: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
310: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
320: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
330: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
340: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
350: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
360: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
370: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
380: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
390: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
400: {'72717': 620, '(4, 4) wkms': 60, '(8, 8) wkms': 60, '(12, 12) wkms': 60, }
