#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2,-378311.45207956515,85126.83297326721,-293184.61910629796,281.59590409460327
4,-348263.9624937625,70147.88729041514,-278116.07520334737,232.04619568161337
6,-334842.0406965438,67345.74408188283,-267496.296614661,222.7768264046311
8,-343233.59141519887,77611.84764544362,-265621.74376975524,256.73665567982056
10,-355186.24520083953,82743.69529673661,-272442.5499041029,273.7125871055255
12,-357840.82008072385,74082.41886263042,-283758.4012180934,245.06145698723083
14,-357567.69923151017,64302.16225139213,-293265.536980118,212.7087885450283
16,-361670.3001802879,65628.959592941,-296041.34058734693,217.0977771153079
18,-362330.99103148957,71097.84972496255,-291233.141306527,235.18863057868393
20,-349767.68215036724,68081.68351565747,-281685.99863470974,225.21128241543695
22,-331153.60610925715,60015.33266872108,-271138.27344053605,198.5281405651976
24,-321930.7873170273,60101.299275428915,-261829.48804159835,198.8125144047065
26,-322147.5380974261,68145.25107796286,-254002.28701946326,225.42156117893919
28,-315889.6700742254,69694.81345651936,-246194.85661770604,230.54744691555092
30,-295087.9751567431,59527.4737734259,-235560.50138331717,196.91432431134518
32,-270600.7608676589,51137.226229880645,-219463.53463777824,169.15974611219957
34,-254553.0484296545,56369.721237565944,-198183.32719208856,186.46861466628235
36,-242937.73715495708,67425.04608308813,-175512.69107186893,223.0391540156316
38,-224865.6434047748,69180.92360324466,-155684.71980153013,228.84752137170537
40,-201206.13386370943,61723.69249388595,-139482.44136982347,204.179321428901
42,-181626.99308514458,58383.45742846066,-123243.53565668393,193.12996742048495
44,-165500.7409639624,64216.77000976683,-101283.97095419557,212.42631468052198
46,-138170.92361096785,69652.50712804595,-68518.4164829219,230.4074993995998
48,-88931.90631695767,67730.70547369726,-21201.200843260405,224.05026214026506
50,-23387.342492914933,65250.976853060514,41863.63436014558,215.84742646027735
52,46523.670223340916,70223.27043109082,116746.94065443173,232.29555987044353
54,116721.3490929433,77840.1927882572,194561.5418812005,257.49201159628467
56,188461.1462322335,78353.02796299083,266814.1741952243,259.1884483088542
58,258795.38898525172,73389.61928764936,332185.00827290106,242.76970577484383
60,325264.290533954,73823.43118294512,399087.7217168991,244.20473687603806
62,399618.4914362142,82730.89733638895,482349.3887726031,273.6702520028464
64,506499.75316811027,91045.39975051995,597545.1529186303,301.1742685699756
66,664030.1311292063,92245.03400784491,756275.1651370511,305.1426071240525
68,869763.0391569753,92380.4819907773,962143.5211477526,305.59066322903664
70,1103165.9555682808,177524.73951098826,1280690.6950792691,587.2442069758938
72,1374936.7851536248,182113.12577362292,1557049.9109272477,602.4223914899075
74,1703249.3490907599,187233.70923100316,1890483.058321763,619.3610614463673
76,2098982.3938496164,199675.7029393661,2298658.0967889824,660.5186417847088
78,2564433.0947172735,216056.49433738357,2780489.589054657,714.7055955617676
80,3145717.09579786,227121.29939213287,3372838.395189993,751.3074950357108
