#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,3138804.5892019756,4908460.464052682,8047265.053254657,16236.976213147627
2,18219303.660153005,4011166.3674641727,22230470.02761718,13268.765913970397
3,8681157.87645292,21007355.082827907,29688512.959280826,69491.42756248178
4,53103838.66547707,23823065.89076071,76926904.55623777,78805.67787504513
5,174898720.33344215,29231167.13141703,204129887.4648592,96695.44429894118
6,388557710.5311777,33249660.271368768,421807370.80254644,109988.44686134157
7,719456077.2097319,37849818.386599675,757305895.5963316,125205.57215770223
8,1179633364.8731167,68653533.72916345,1248286898.6022801,227102.9383393626
9,1820712620.3351898,1493183497848.2266,1495004210468.5618,4939386822.810113
10,1031077027234.9746,122767412007348.06,123798489034583.03,406109321468.82837
11,99924911960524.7,2899913598591950.5,2999838510552475.0,9592789524405.035
12,4753766679042859.0,5.586170308839605e+30,5.58617030883961e+30,1.847881124672062e+28
13,7.555854968042715e+29,5.619115208958099e+30,6.37470070576237e+30,1.8587791560097095e+28
14,1.7743904885661697e+30,5.68470257462215e+30,7.45909306318832e+30,1.880475174628365e+28
15,2.3097185788025007e+30,1.5789914255374878e+37,1.5789916565093458e+37,5.223235758946734e+34
