1: {'72717': 571, '(80, 80) wkms': 7, }
2: {'72717': 571, '(80, 80) wkms': 7, }
3: {'72717': 571, '(80, 80) wkms': 7, }
4: {'72717': 571, '(80, 80) wkms': 7, }
5: {'72717': 571, '(80, 80) wkms': 7, }
6: {'72717': 571, '(80, 80) wkms': 7, }
7: {'72717': 571, '(80, 80) wkms': 7, }
8: {'72717': 571, '(80, 80) wkms': 7, }
9: {'72717': 571, '(80, 80) wkms': 7, }
10: {'72717': 571, '(80, 80) wkms': 7, }
11: {'72717': 571, '(80, 80) wkms': 7, }
12: {'72717': 571, '(80, 80) wkms': 7, }
13: {'72717': 571, '(80, 80) wkms': 7, }
14: {'72717': 571, '(80, 80) wkms': 7, }
15: {'72717': 571, '(80, 80) wkms': 7, }
16: {'72717': 571, '(80, 80) wkms': 7, }
17: {'72717': 571, '(80, 80) wkms': 7, }
18: {'72717': 571, '(80, 80) wkms': 7, }
19: {'72717': 571, '(80, 80) wkms': 7, }
20: {'72717': 571, '(80, 80) wkms': 7, }
21: {'72717': 571, '(80, 80) wkms': 7, }
22: {'72717': 571, '(80, 80) wkms': 7, }
23: {'72717': 571, '(80, 80) wkms': 7, }
24: {'72717': 571, '(80, 80) wkms': 7, }
25: {'72717': 571, '(80, 80) wkms': 7, }
26: {'72717': 571, '(80, 80) wkms': 7, }
27: {'72717': 571, '(80, 80) wkms': 7, }
28: {'72717': 571, '(80, 80) wkms': 7, }
29: {'72717': 571, '(80, 80) wkms': 7, }
30: {'72717': 571, '(80, 80) wkms': 7, }
31: {'72717': 571, '(80, 80) wkms': 7, }
32: {'72717': 571, '(80, 80) wkms': 7, }
33: {'72717': 571, '(80, 80) wkms': 7, }
34: {'72717': 571, '(80, 80) wkms': 7, }
35: {'72717': 571, '(80, 80) wkms': 7, }
36: {'72717': 571, '(80, 80) wkms': 7, }
37: {'72717': 571, '(80, 80) wkms': 7, }
38: {'72717': 571, '(80, 80) wkms': 7, }
39: {'72717': 571, '(80, 80) wkms': 7, }
40: {'72717': 571, '(80, 80) wkms': 7, }
