#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
2,-378311.45191663917,85126.83296988257,-293184.6189467566,281.595904083407
4,-348263.9631455116,70147.8872973114,-278116.0758482002,232.04619570442594
6,-334842.04116640514,67345.74411841891,-267496.29704798624,222.77682652549086
8,-343233.59182825853,77611.84766692869,-265621.7441613298,256.7366557508923
10,-355186.24567094824,82743.69532750292,-272442.5503434453,273.7125872072991
12,-357840.8197693657,74082.41889424493,-283758.4008751208,245.06145709181024
14,-357567.6992533929,64302.16227292139,-293265.53698047146,212.70878861624618
16,-361670.30047467037,65628.95963909847,-296041.3408355719,217.09777726799481
18,-362330.9914735203,71097.84978764347,-291233.1416858768,235.1886307860297
20,-349767.680120305,68081.68357318331,-281685.9965471217,225.21128260573
22,-331153.6037110506,60015.33270628783,-271138.27100476273,198.5281406894668
24,-321930.79031482444,60101.299310495844,-261829.4910043286,198.81251452070637
26,-322147.54033902445,68145.25112472966,-254002.28921429478,225.42156133364173
28,-315889.66906736116,69694.81354235747,-246194.8555250037,230.5474471994997
30,-295087.97518982546,59527.473925848295,-235560.50126397717,196.9143248155519
32,-270600.763665435,51137.22639333411,-219463.53727210092,169.15974665289662
34,-254553.04750645626,56369.72135400728,-198183.32615244898,186.46861505146526
36,-242937.7347505408,67425.04623116487,-175512.68851937592,223.0391545054631
38,-224865.6435714942,69180.92378180826,-155684.71978968594,228.84752196238605
40,-201206.13031065513,61723.69267844718,-139482.43763220796,204.1793220394216
42,-181626.99493339247,58383.45758557538,-123243.5373478171,193.1299679402137
44,-165500.74233379992,64216.770207659,-101283.97212614093,212.42631533514077
46,-138170.92970825447,69652.5073308347,-68518.42237741976,230.4075000704163
48,-88931.9044107364,67730.7056136189,-21201.198797117497,224.0502626031198
50,-23387.344474704587,65250.976865656645,41863.63239095206,215.8474265019448
52,46523.67151013535,70223.27044570453,116746.94195583988,232.29555991878507
54,116721.35510775086,77840.19279951217,194561.54790726304,257.4920116335155
56,188461.1500304995,78353.02801604298,266814.17804654245,259.18844848434844
58,258795.3887706371,73389.61928771452,332185.00805835164,242.7697057750594
60,325264.29290404555,73823.43102899888,399087.7239330444,244.20473636679048
62,399618.4945413139,82730.89719442326,482349.39173573715,273.67025153323
64,506499.74697310943,91045.39971155838,597545.1466846678,301.1742684410924
66,664030.128789959,92245.03419233086,756275.1629822899,305.14260773432403
68,869763.038518596,92380.48230025348,962143.5208188494,305.5906642527705
70,1103165.9656566093,177524.74035678347,1280690.7060133927,587.2442097737481
72,1374936.7900646739,182113.08365655423,1557049.873721228,602.4222521684546
74,1703249.3420745116,187233.68864034556,1890483.0307148572,619.3609933333571
76,2098982.392314068,199675.68628767593,2298658.078601744,660.5185867016336
78,2564433.1086935205,216056.4656618644,2780489.574355385,714.7055007043829
80,3145717.1621867274,227121.2242085179,3372838.3863952453,751.3072463315443
