10: {'72717': 5710, '(80, 80) wkms': 70, }
20: {'72717': 5710, '(80, 80) wkms': 70, }
30: {'72717': 5710, '(80, 80) wkms': 70, }
40: {'72717': 5710, '(80, 80) wkms': 70, }
50: {'72717': 5710, '(80, 80) wkms': 70, }
60: {'72717': 5710, '(80, 80) wkms': 70, }
70: {'72717': 5710, '(80, 80) wkms': 70, }
80: {'72717': 5710, '(80, 80) wkms': 70, }
90: {'72717': 5710, '(80, 80) wkms': 70, }
100: {'72717': 5710, '(80, 80) wkms': 70, }
110: {'72717': 5710, '(80, 80) wkms': 70, }
120: {'72717': 5710, '(80, 80) wkms': 70, }
130: {'72717': 5710, '(80, 80) wkms': 70, }
140: {'72717': 5710, '(80, 80) wkms': 70, }
150: {'72717': 5710, '(80, 80) wkms': 70, }
160: {'72717': 5710, '(80, 80) wkms': 70, }
170: {'72717': 5710, '(80, 80) wkms': 70, }
180: {'72717': 5710, '(80, 80) wkms': 70, }
190: {'72717': 5710, '(80, 80) wkms': 70, }
200: {'72717': 5710, '(80, 80) wkms': 70, }
210: {'72717': 5710, '(80, 80) wkms': 70, }
220: {'72717': 5710, '(80, 80) wkms': 70, }
230: {'72717': 5710, '(80, 80) wkms': 70, }
240: {'72717': 5710, '(80, 80) wkms': 70, }
250: {'72717': 5710, '(80, 80) wkms': 70, }
260: {'72717': 5710, '(80, 80) wkms': 70, }
270: {'72717': 5710, '(80, 80) wkms': 70, }
280: {'72717': 5710, '(80, 80) wkms': 70, }
290: {'72717': 5710, '(80, 80) wkms': 70, }
300: {'72717': 5710, '(80, 80) wkms': 70, }
310: {'72717': 5710, '(80, 80) wkms': 70, }
320: {'72717': 5710, '(80, 80) wkms': 70, }
330: {'72717': 5710, '(80, 80) wkms': 70, }
340: {'72717': 5710, '(80, 80) wkms': 70, }
350: {'72717': 5710, '(80, 80) wkms': 70, }
360: {'72717': 5710, '(80, 80) wkms': 70, }
370: {'72717': 5710, '(80, 80) wkms': 70, }
380: {'72717': 5710, '(80, 80) wkms': 70, }
390: {'72717': 5710, '(80, 80) wkms': 70, }
400: {'72717': 5710, '(80, 80) wkms': 70, }
410: {'72717': 5710, '(80, 80) wkms': 70, }
420: {'72717': 5710, '(80, 80) wkms': 70, }
430: {'72717': 5710, '(80, 80) wkms': 70, }
440: {'72717': 5710, '(80, 80) wkms': 70, }
450: {'72717': 5710, '(80, 80) wkms': 70, }
460: {'72717': 5710, '(80, 80) wkms': 70, }
470: {'72717': 5710, '(80, 80) wkms': 70, }
480: {'72717': 5710, '(80, 80) wkms': 70, }
490: {'72717': 5710, '(80, 80) wkms': 70, }
500: {'72717': 5710, '(80, 80) wkms': 70, }
510: {'72717': 5710, '(80, 80) wkms': 70, }
520: {'72717': 5710, '(80, 80) wkms': 70, }
530: {'72717': 5710, '(80, 80) wkms': 70, }
540: {'72717': 5710, '(80, 80) wkms': 70, }
550: {'72717': 5710, '(80, 80) wkms': 70, }
560: {'72717': 5710, '(80, 80) wkms': 70, }
570: {'72717': 5710, '(80, 80) wkms': 70, }
580: {'72717': 5710, '(80, 80) wkms': 70, }
590: {'72717': 5710, '(80, 80) wkms': 70, }
600: {'72717': 5710, '(80, 80) wkms': 70, }
610: {'72717': 5710, '(80, 80) wkms': 70, }
620: {'72717': 5710, '(80, 80) wkms': 70, }
630: {'72717': 5710, '(80, 80) wkms': 70, }
640: {'72717': 5710, '(80, 80) wkms': 70, }
