#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
20,-388165.1204435387,82442.31424423479,-305722.80619930394,272.7156315394364
40,-381710.589057525,76419.91680588828,-305290.6722516367,252.79379970057576
60,-382884.83052850165,80075.97700374886,-302808.8535247528,264.88788967058736
80,-381119.08352928335,83535.63823915117,-297583.4452901322,276.3323003154672
100,-369439.85525820823,78459.72995721444,-290980.1253009938,259.5414139189049
120,-357617.70927324565,71910.1191668314,-285707.5901064143,237.87558297503708
140,-357951.67709357105,73804.04204998439,-284147.63504358666,244.1405984576923
160,-365583.1716024154,79011.01073301716,-286572.1608693982,261.3650270271348
180,-364758.33584824856,74831.41936899749,-289926.91647925106,247.53911846471095
200,-351243.6562616908,63012.185841098995,-288231.47042059177,208.44160203250667
220,-334934.7984950694,59470.269096621974,-275464.5293984474,196.72509369955793
240,-319418.1278172991,69475.70083723307,-249942.42698006603,229.82263179003303
260,-294178.76222069113,77592.90956906445,-216585.8526516267,256.6740093372569
280,-255046.92508213065,70297.71082482264,-184749.214257308,232.54180549290965
300,-220481.37802239167,56936.01123103811,-163545.36679135356,188.34187762135548
320,-213484.53646545482,55957.84375724896,-157526.69270820587,185.10614166693452
340,-231240.38035916042,67050.72377364818,-164189.65658551225,221.80091190714595
360,-246131.27080819584,72278.17193755567,-173853.09887064015,239.0930857189624
380,-236669.13893375517,64691.88097207281,-171977.25796168236,213.9979613200466
400,-203835.99730585652,59187.860656779805,-144648.1366490767,195.79089872056377
420,-154557.0845797413,67657.17417098125,-86899.91040876004,223.80702375179976
440,-86446.95302507572,78342.58234644863,-8104.370678627092,259.15389465836245
460,-2003.5445501529612,74090.18099954355,72086.63644939059,245.0871338024654
480,73385.45923190349,61163.391759274295,134548.85099117778,202.32587068467575
500,108452.77265505382,61369.391318484355,169822.16397353818,203.0073083711578
520,103491.23447267676,78076.46849751715,181567.70297019393,258.27360148563884
540,96265.07526287512,89595.25203449,185860.32729736512,296.3772422634241
560,126080.60578742396,81929.62303687188,208010.22882429586,271.01967106474035
580,204459.1235204173,70429.98003132301,274889.1035517403,232.97934634210395
600,325676.5811167419,75738.00298629054,401414.5841030324,250.5380580990465
620,487735.98715188826,91723.62920093327,579459.6163528215,303.4178224366242
640,684594.1054649382,96451.68256778082,781045.788032719,319.05801972744877
660,886069.4805862276,87872.23559776365,973941.7161839913,290.67757795872495
680,1050360.7558755544,86698.46952678666,1137059.225402341,286.79481025308115
700,1166147.850443033,103176.23322504396,1269324.083668077,341.30254423074643
720,1266093.9764492572,121404.11147253292,1387498.08792179,401.5995819044012
740,1413171.5484228916,119064.92221612157,1532236.4706390132,393.86164439984964
760,1636274.3018202898,112532.73023548994,1748807.0320557798,372.25343412985023
780,1951395.043443879,122372.00578196539,2073767.0492258444,404.80133467274686
800,2373224.781615575,153057.06754773294,2526281.849163308,506.30619992297363
