#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1,-334181.6538351967,223229.66052738245,-110951.99330781423,738.4341209625411
2,-53662.83134553814,372224.93855517043,318562.1072096323,1231.3040957592955
3,477287.18275664974,308515.99162561377,785803.1743822636,1020.5576379981165
4,951136.6202840176,131572.80697159865,1082709.4272556163,435.2371894895602
5,971536.0859462048,112605.54631009909,1084141.632256304,372.4943065744838
6,522751.0387714598,276557.68010562233,799308.7188770821,914.8409172946097
7,-10790.8894513532,367920.50679279136,357129.6173414382,1217.0652205256627
8,-298248.44464419846,243139.36357047624,-55109.08107372222,804.2945627627864
9,-359803.9253304538,93086.32467226483,-266717.6006581889,307.92556047705784
10,-346750.86445863894,149416.52459232742,-197334.33986631152,494.2634403239576
11,-224945.3876357904,323989.0050475392,99043.6174117488,1071.741701253275
12,117757.73342758382,343625.76352152927,461383.4969491131,1136.6992541521017
13,540743.3171449512,176499.79310344043,717243.1102483916,583.8537283195037
14,691872.0868351397,83248.90017457641,775120.9870097161,275.38378312397685
15,432416.4844257714,208262.16632585786,640678.6507516293,688.9222935575132
16,24976.300120416156,356196.9493607752,381173.24948119133,1178.2841965057708
17,-193618.37031393917,297194.270749735,103575.90043579583,983.1058720320196
18,-192006.52704441283,121447.29019333147,-70559.23685108135,401.742415256662
19,-164093.1422756667,100839.93073340172,-63253.21154226498,333.57415601995666
20,-164309.10259140396,269964.1385186908,105655.03592728681,893.02976516423
21,-44520.324178216804,369960.99961010943,325440.6754318926,1223.815083049876
22,230446.30249793702,247042.1376564226,477488.4401543596,817.204771668998
23,432930.7865936251,94523.97494099988,527454.761534625,312.68124576519045
24,365152.39759545145,153877.10420601603,519029.5018014675,509.0188459373328
25,155422.71911841375,334700.727795868,490123.44691428175,1107.1756196356685
26,99927.21793666785,356900.1085115057,456827.32644817355,1180.6102167494057
27,267699.73512025294,189129.3779874818,456829.1131077347,625.6318522029333
28,437992.2338633301,95440.96084144422,533433.1947047743,315.71459570502344
29,449860.5188590243,225212.826899015,675073.3457580393,744.9943500687415
30,422894.73306209163,382165.851876103,805060.5849381946,1264.188209690953
31,531845.0999383146,327917.19760665286,859762.2975449675,1084.73599337605
32,731971.3367352558,153871.63677452967,885842.9735097855,509.0007599090066
33,868320.787456303,250987.86148053242,1119308.6489368354,830.2570564627567
34,1109167.2109837413,693333.0506427462,1802500.2616264876,2293.5159269431006
35,1743340.9106918233,664550.0041073619,2407890.9147991855,2198.302846312298
36,2644678.0567275933,579925.652495588,3224603.709223181,1918.3691289611486
37,3612467.602211162,584945.5319416547,4197413.134152817,1934.974674377187
38,4592503.40171752,701137.4150299929,5293640.816747514,2319.3324288468025
39,5715362.371686711,773714.1067672353,6489076.478453946,2559.4130052305395
40,7071226.846274236,752604.2403115457,7823831.086585782,2489.5824744533284
