2: {'72717': 1142, '(80, 80) wkms': 14, }
4: {'72717': 1142, '(80, 80) wkms': 14, }
6: {'72717': 1142, '(80, 80) wkms': 14, }
8: {'72717': 1142, '(80, 80) wkms': 14, }
10: {'72717': 1142, '(80, 80) wkms': 14, }
12: {'72717': 1142, '(80, 80) wkms': 14, }
14: {'72717': 1142, '(80, 80) wkms': 14, }
16: {'72717': 1142, '(80, 80) wkms': 14, }
18: {'72717': 1142, '(80, 80) wkms': 14, }
20: {'72717': 1142, '(80, 80) wkms': 14, }
22: {'72717': 1142, '(80, 80) wkms': 14, }
24: {'72717': 1142, '(80, 80) wkms': 14, }
26: {'72717': 1142, '(80, 80) wkms': 14, }
28: {'72717': 1142, '(80, 80) wkms': 14, }
30: {'72717': 1142, '(80, 80) wkms': 14, }
32: {'72717': 1142, '(80, 80) wkms': 14, }
34: {'72717': 1142, '(80, 80) wkms': 14, }
36: {'72717': 1142, '(80, 80) wkms': 14, }
38: {'72717': 1142, '(80, 80) wkms': 14, }
40: {'72717': 1142, '(80, 80) wkms': 14, }
42: {'72717': 1142, '(80, 80) wkms': 14, }
44: {'72717': 1142, '(80, 80) wkms': 14, }
46: {'72717': 1142, '(80, 80) wkms': 14, }
48: {'72717': 1142, '(80, 80) wkms': 14, }
50: {'72717': 1142, '(80, 80) wkms': 14, }
52: {'72717': 1142, '(80, 80) wkms': 14, }
54: {'72717': 1142, '(80, 80) wkms': 14, }
56: {'72717': 1142, '(80, 80) wkms': 14, }
58: {'72717': 1142, '(80, 80) wkms': 14, }
60: {'72717': 1142, '(80, 80) wkms': 14, }
62: {'72717': 1142, '(80, 80) wkms': 14, }
64: {'72717': 1142, '(80, 80) wkms': 14, }
66: {'72717': 1142, '(80, 80) wkms': 14, }
68: {'72717': 1142, '(80, 80) wkms': 14, }
70: {'72717': 1142, '(80, 80) wkms': 14, }
72: {'72717': 1142, '(80, 80) wkms': 14, }
74: {'72717': 1142, '(80, 80) wkms': 14, }
76: {'72717': 1142, '(80, 80) wkms': 14, }
78: {'72717': 1142, '(80, 80) wkms': 14, }
80: {'72717': 1142, '(80, 80) wkms': 14, }
